"sample_id","count_replicate","count_per_cm2","t","site","depth","spec","size","replicate"
"3TSAL081P","c6",2977276.63770469,"3","Temae","5 m","A. hya","Adult",81
"3TSAL083P","c1",5003841.43148927,"3","Temae","5 m","A. hya","Adult",83
"3TSAL083P","c2",4496205.34423674,"3","Temae","5 m","A. hya","Adult",83
"3TSAL083P","c3",4351166.46216459,"3","Temae","5 m","A. hya","Adult",83
"3TSAL083P","c4",4931321.9904532,"3","Temae","5 m","A. hya","Adult",83
"3TSAL083P","c5",6381710.81117473,"3","Temae","5 m","A. hya","Adult",83
"3TSAL083P","c6",5366438.63666966,"3","Temae","5 m","A. hya","Adult",83
"3TSAL084P","c1",2657340.9110108,"3","Temae","5 m","A. hya","Adult",84
"3TSAL084P","c2",1733048.42022443,"3","Temae","5 m","A. hya","Adult",84
"3TSAL084P","c3",2426267.7883142,"3","Temae","5 m","A. hya","Adult",84
"3TSAL084P","c4",3697169.96314545,"3","Temae","5 m","A. hya","Adult",84
"3TSAL084P","c5",3003950.59505568,"3","Temae","5 m","A. hya","Adult",84
"3TSAL084P","c6",4043779.64719034,"3","Temae","5 m","A. hya","Adult",84
"3ESAL009P","c1",4818769.78579231,"3","E2B","5 m","A. hya","Adult",9
"3ESAL009P","c2",4311530.86097207,"3","E2B","5 m","A. hya","Adult",9
"3ESAL009P","c3",7481774.14109858,"3","E2B","5 m","A. hya","Adult",9
"3ESAL009P","c4",5960057.36663785,"3","E2B","5 m","A. hya","Adult",9
"3ESAL009P","c5",4691960.05458725,"3","E2B","5 m","A. hya","Adult",9
"3ESAL009P","c6",6974535.21627834,"3","E2B","5 m","A. hya","Adult",9
"3ESAL091P","c1",48773.8839529373,"3","E2B","5 m","A. hya","Adult",91
"3ESAL091P","c2",48773.8839529373,"3","E2B","5 m","A. hya","Adult",91
"3ESAL091P","c3",0,"3","E2B","5 m","A. hya","Adult",91
"3ESAL091P","c4",48773.8839529373,"3","E2B","5 m","A. hya","Adult",91
"3ESAL091P","c5",48773.8839529373,"3","E2B","5 m","A. hya","Adult",91
"3ESAL091P","c6",48773.8839529373,"3","E2B","5 m","A. hya","Adult",91
"3ESAL022P","c1",108999.21707434,"3","E2B","5 m","A. hya","Adult",22
"3ESAL022P","c2",54499.6085371701,"3","E2B","5 m","A. hya","Adult",22
"3ESAL022P","c3",108999.21707434,"3","E2B","5 m","A. hya","Adult",22
"3ESAL022P","c4",0,"3","E2B","5 m","A. hya","Adult",22
"3ESAL022P","c5",108999.21707434,"3","E2B","5 m","A. hya","Adult",22
"3ESAL022P","c6",108999.21707434,"3","E2B","5 m","A. hya","Adult",22
"3TSAL043P","c1",2584620.38718647,"3","Temae","5 m","A. hya","Adult",43
"3TSAL043P","c2",1988169.52860498,"3","Temae","5 m","A. hya","Adult",43
"3TSAL043P","c3",3446160.51624863,"3","Temae","5 m","A. hya","Adult",43
"3TSAL043P","c4",2849709.65766713,"3","Temae","5 m","A. hya","Adult",43
"3TSAL043P","c5",2054441.84622514,"3","Temae","5 m","A. hya","Adult",43
"3TSAL043P","c6",2452075.75194614,"3","Temae","5 m","A. hya","Adult",43
"3TSAL067P","c1",1887191.09296571,"3","Temae","5 m","A. hya","Adult",67
"3TSAL067P","c2",1838801.57776146,"3","Temae","5 m","A. hya","Adult",67
"3TSAL067P","c3",2613033.82102944,"3","Temae","5 m","A. hya","Adult",67
"3TSAL067P","c4",2419475.76021245,"3","Temae","5 m","A. hya","Adult",67
"3TSAL067P","c5",2322696.72980395,"3","Temae","5 m","A. hya","Adult",67
"3TSAL067P","c6",1838801.57776146,"3","Temae","5 m","A. hya","Adult",67
"3ESAL012P","c1",1603850.19341497,"3","E2B","5 m","A. hya","Adult",12
"3ESAL012P","c2",1935681.26791462,"3","E2B","5 m","A. hya","Adult",12
"3ESAL012P","c3",1659155.37249825,"3","E2B","5 m","A. hya","Adult",12
"3ESAL012P","c4",1493239.83524842,"3","E2B","5 m","A. hya","Adult",12
"3ESAL012P","c5",2544038.23783065,"3","E2B","5 m","A. hya","Adult",12
"3ESAL012P","c6",2267512.34241427,"3","E2B","5 m","A. hya","Adult",12
"3ESAL083P","c1",7963178.40950567,"3","E2B","5 m","A. hya","Adult",83
"3ESAL083P","c2",5819245.7607926,"3","E2B","5 m","A. hya","Adult",83
"3ESAL083P","c3",6891212.08514913,"3","E2B","5 m","A. hya","Adult",83
"3ESAL083P","c4",8575730.59485226,"3","E2B","5 m","A. hya","Adult",83
"3ESAL083P","c5",8422592.54851561,"3","E2B","5 m","A. hya","Adult",83
"3ESAL083P","c6",8116316.45584231,"3","E2B","5 m","A. hya","Adult",83
"3ESAL073P","c1",6083675.29377425,"3","E2B","5 m","A. hya","Adult",73
"3ESAL073P","c2",5877449.01262936,"3","E2B","5 m","A. hya","Adult",73
"3ESAL073P","c3",5980562.1532018,"3","E2B","5 m","A. hya","Adult",73
"3ESAL073P","c4",6083675.29377425,"3","E2B","5 m","A. hya","Adult",73
"3ESAL073P","c5",6908580.4183538,"3","E2B","5 m","A. hya","Adult",73
"3ESAL073P","c6",4640091.32576002,"3","E2B","5 m","A. hya","Adult",73
"3ESAL074P","c1",3760184.35365657,"3","E2B","5 m","A. hya","Adult",74
"3ESAL074P","c2",3055149.78734596,"3","E2B","5 m","A. hya","Adult",74
"3ESAL074P","c3",3525172.83155304,"3","E2B","5 m","A. hya","Adult",74
"3ESAL074P","c4",3368498.48348401,"3","E2B","5 m","A. hya","Adult",74
"3ESAL074P","c5",3133486.96138048,"3","E2B","5 m","A. hya","Adult",74
"3ESAL074P","c6",4151870.22382913,"3","E2B","5 m","A. hya","Adult",74
"3ESAL081P","c1",5760670.33254778,"3","E2B","5 m","A. hya","Adult",81
"3ESAL081P","c2",4451427.07515056,"3","E2B","5 m","A. hya","Adult",81
"3ESAL081P","c3",6546216.28698612,"3","E2B","5 m","A. hya","Adult",81
"3ESAL081P","c4",5236973.02958889,"3","E2B","5 m","A. hya","Adult",81
"3ESAL081P","c5",4844200.05236973,"3","E2B","5 m","A. hya","Adult",81
"3ESAL081P","c6",5498821.68106834,"3","E2B","5 m","A. hya","Adult",81
"3ESAL001P","c1",2368626.07024592,"3","E2B","5 m","A. hya","Adult",1
"3ESAL001P","c2",2292218.77765734,"3","E2B","5 m","A. hya","Adult",1
"3ESAL001P","c3",2101200.5461859,"3","E2B","5 m","A. hya","Adult",1
"3ESAL001P","c4",2636051.59430594,"3","E2B","5 m","A. hya","Adult",1
"3ESAL001P","c5",2788866.1794831,"3","E2B","5 m","A. hya","Adult",1
"3ESAL001P","c6",1795571.37583159,"3","E2B","5 m","A. hya","Adult",1
"3ESAL071P","c1",4983044.71911136,"3","E2B","5 m","A. hya","Adult",71
"3ESAL071P","c2",5077064.4307927,"3","E2B","5 m","A. hya","Adult",71
"3ESAL071P","c3",4983044.71911136,"3","E2B","5 m","A. hya","Adult",71
"3ESAL071P","c4",6393340.39433155,"3","E2B","5 m","A. hya","Adult",71
"3ESAL071P","c5",5547162.98919944,"3","E2B","5 m","A. hya","Adult",71
"3ESAL071P","c6",5641182.70088078,"3","E2B","5 m","A. hya","Adult",71
"3ESAL072P","c1",3912017.16508782,"3","E2B","5 m","A. hya","Adult",72
"3ESAL072P","c2",3375073.63262478,"3","E2B","5 m","A. hya","Adult",72
"3ESAL072P","c3",2838130.10016175,"3","E2B","5 m","A. hya","Adult",72
"3ESAL072P","c4",4448960.69755085,"3","E2B","5 m","A. hya","Adult",72
"3ESAL072P","c5",3681898.50831794,"3","E2B","5 m","A. hya","Adult",72
"3ESAL072P","c6",4448960.69755085,"3","E2B","5 m","A. hya","Adult",72
"3TSAL078P","c1",1025376.63974337,"3","Temae","5 m","A. hya","Adult",78
"3TSAL078P","c2",779286.24620496,"3","Temae","5 m","A. hya","Adult",78
"3TSAL078P","c3",820301.311794695,"3","Temae","5 m","A. hya","Adult",78
"3TSAL078P","c4",902331.442974164,"3","Temae","5 m","A. hya","Adult",78
"3TSAL078P","c5",861316.37738443,"3","Temae","5 m","A. hya","Adult",78
"3TSAL078P","c6",943346.508563899,"3","Temae","5 m","A. hya","Adult",78
"3ESAL089P","c1",99296.344819002,"3","E2B","5 m","A. hya","Adult",89
"3ESAL089P","c2",74472.2586142515,"3","E2B","5 m","A. hya","Adult",89
"3ESAL089P","c3",49648.172409501,"3","E2B","5 m","A. hya","Adult",89
"3ESAL089P","c4",74472.2586142515,"3","E2B","5 m","A. hya","Adult",89
"3ESAL089P","c5",74472.2586142515,"3","E2B","5 m","A. hya","Adult",89
"3ESAL089P","c6",124120.431023752,"3","E2B","5 m","A. hya","Adult",89
"3ESAL093P","c1",604093.691770734,"3","E2B","5 m","A. hya","Adult",93
"3ESAL093P","c2",474645.043534148,"3","E2B","5 m","A. hya","Adult",93
"3ESAL093P","c3",388345.944709758,"3","E2B","5 m","A. hya","Adult",93
"3ESAL093P","c4",215747.747060976,"3","E2B","5 m","A. hya","Adult",93
"3ESAL093P","c5",906140.537656101,"3","E2B","5 m","A. hya","Adult",93
"3ESAL093P","c6",862990.988243906,"3","E2B","5 m","A. hya","Adult",93
"3ESAL075P","c1",3079836.89068961,"3","E2B","5 m","A. hya","Adult",75
"3ESAL075P","c2",3645521.21755097,"3","E2B","5 m","A. hya","Adult",75
"3ESAL075P","c3",4274059.35850803,"3","E2B","5 m","A. hya","Adult",75
"3ESAL075P","c4",4022644.10212521,"3","E2B","5 m","A. hya","Adult",75
"3ESAL075P","c5",3205544.51888103,"3","E2B","5 m","A. hya","Adult",75
"3ESAL075P","c6",3519813.58935956,"3","E2B","5 m","A. hya","Adult",75
"3TSAL052P","c1",184338.144451522,"3","Temae","5 m","A. hya","Adult",52
"3TSAL052P","c2",73735.2577806088,"3","Temae","5 m","A. hya","Adult",52
"3TSAL052P","c3",73735.2577806088,"3","Temae","5 m","A. hya","Adult",52
"3TSAL052P","c4",147470.515561218,"3","Temae","5 m","A. hya","Adult",52
"3TSAL052P","c5",294941.031122435,"3","Temae","5 m","A. hya","Adult",52
"3TSAL052P","c6",36867.6288903044,"3","Temae","5 m","A. hya","Adult",52
"3TSAL050P","c1",1434235.90076916,"3","Temae","5 m","A. hya","Adult",50
"3TSAL050P","c2",1633435.33143155,"3","Temae","5 m","A. hya","Adult",50
"3TSAL050P","c3",1952154.42049136,"3","Temae","5 m","A. hya","Adult",50
"3TSAL050P","c4",1474075.78690164,"3","Temae","5 m","A. hya","Adult",50
"3TSAL050P","c5",1354556.12850421,"3","Temae","5 m","A. hya","Adult",50
"3TSAL050P","c6",1513915.67303412,"3","Temae","5 m","A. hya","Adult",50
"3TSAL009P","c1",2478077.36416334,"3","Temae","5 m","A. hya","Adult",9
"3TSAL009P","c2",2759677.06463645,"3","Temae","5 m","A. hya","Adult",9
"3TSAL009P","c3",2815997.00473107,"3","Temae","5 m","A. hya","Adult",9
"3TSAL009P","c4",2647037.18444721,"3","Temae","5 m","A. hya","Adult",9
"3TSAL009P","c5",2534397.30425796,"3","Temae","5 m","A. hya","Adult",9
"3TSAL009P","c6",2252797.60378486,"3","Temae","5 m","A. hya","Adult",9
"3TSAL080P","c1",1844702.13376037,"3","Temae","5 m","A. hya","Adult",80
"3TSAL080P","c2",2075289.90048042,"3","Temae","5 m","A. hya","Adult",80
"3TSAL080P","c3",1959996.01712039,"3","Temae","5 m","A. hya","Adult",80
"3TSAL080P","c4",1614114.36704032,"3","Temae","5 m","A. hya","Adult",80
"3TSAL080P","c5",2305877.66720046,"3","Temae","5 m","A. hya","Adult",80
"3TSAL080P","c6",1787055.19208036,"3","Temae","5 m","A. hya","Adult",80
"3TSAL040P","c1",902030.65944635,"3","Temae","5 m","A. hya","Adult",40
"3TSAL040P","c2",574019.510556769,"3","Temae","5 m","A. hya","Adult",40
"3TSAL040P","c3",574019.510556769,"3","Temae","5 m","A. hya","Adult",40
"3TSAL040P","c4",1066036.23389114,"3","Temae","5 m","A. hya","Adult",40
"3TSAL040P","c5",574019.510556769,"3","Temae","5 m","A. hya","Adult",40
"3TSAL040P","c6",328011.148889582,"3","Temae","5 m","A. hya","Adult",40
"3ESAL013P","c1",929427.723692977,"3","E2B","5 m","A. hya","Adult",13
"3ESAL013P","c2",1056167.86783293,"3","E2B","5 m","A. hya","Adult",13
"3ESAL013P","c3",1267401.44139951,"3","E2B","5 m","A. hya","Adult",13
"3ESAL013P","c4",1140661.29725956,"3","E2B","5 m","A. hya","Adult",13
"3ESAL013P","c5",929427.723692977,"3","E2B","5 m","A. hya","Adult",13
"3ESAL013P","c6",1351894.87082615,"3","E2B","5 m","A. hya","Adult",13
"3ESAL082P","c1",3650159.97409531,"3","E2B","5 m","A. hya","Adult",82
"3ESAL082P","c2",3842273.65694243,"3","E2B","5 m","A. hya","Adult",82
"3ESAL082P","c3",3714197.86837768,"3","E2B","5 m","A. hya","Adult",82
"3ESAL082P","c4",4866879.96546041,"3","E2B","5 m","A. hya","Adult",82
"3ESAL082P","c5",3650159.97409531,"3","E2B","5 m","A. hya","Adult",82
"3ESAL082P","c6",3458046.29124819,"3","E2B","5 m","A. hya","Adult",82
"3ESAL030P","c1",54392.6786992043,"3","E2B","5 m","A. hya","Adult",30
"3ESAL030P","c2",72523.5715989391,"3","E2B","5 m","A. hya","Adult",30
"3ESAL030P","c3",108785.357398409,"3","E2B","5 m","A. hya","Adult",30
"3ESAL030P","c4",36261.7857994696,"3","E2B","5 m","A. hya","Adult",30
"3ESAL030P","c5",126916.250298143,"3","E2B","5 m","A. hya","Adult",30
"3ESAL030P","c6",36261.7857994696,"3","E2B","5 m","A. hya","Adult",30
"3TSAL079P","c1",2325924.69852807,"3","Temae","5 m","A. hya","Adult",79
"3TSAL079P","c2",2549571.30415577,"3","Temae","5 m","A. hya","Adult",79
"3TSAL079P","c3",2639029.94640685,"3","Temae","5 m","A. hya","Adult",79
"3TSAL079P","c4",2281195.37740253,"3","Temae","5 m","A. hya","Adult",79
"3TSAL079P","c5",2460112.66190469,"3","Temae","5 m","A. hya","Adult",79
"3TSAL079P","c6",2817947.23090901,"3","Temae","5 m","A. hya","Adult",79
"3TSAL085P","c1",1895383.5428422,"3","Temae","5 m","A. hya","Adult",85
"3TSAL085P","c2",1766152.84673933,"3","Temae","5 m","A. hya","Adult",85
"3TSAL085P","c3",1852306.64414124,"3","Temae","5 m","A. hya","Adult",85
"3TSAL085P","c4",1723075.94803837,"3","Temae","5 m","A. hya","Adult",85
"3TSAL085P","c5",2196921.83374892,"3","Temae","5 m","A. hya","Adult",85
"3TSAL085P","c6",2153844.93504796,"3","Temae","5 m","A. hya","Adult",85
"3TSAL060P","c1",2338551.60633383,"3","Temae","5 m","A. hya","Adult",60
"3TSAL060P","c2",2846932.39031945,"3","Temae","5 m","A. hya","Adult",60
"3TSAL060P","c3",2236875.44953671,"3","Temae","5 m","A. hya","Adult",60
"3TSAL060P","c4",1575980.43035541,"3","Temae","5 m","A. hya","Adult",60
"3TSAL060P","c5",1779332.74394966,"3","Temae","5 m","A. hya","Adult",60
"3TSAL060P","c6",1626818.50875397,"3","Temae","5 m","A. hya","Adult",60
"3ESAL092P","c1",1930367.44595557,"3","E2B","5 m","A. hya","Adult",92
"3ESAL092P","c2",1213373.82317207,"3","E2B","5 m","A. hya","Adult",92
"3ESAL092P","c3",1047913.75637588,"3","E2B","5 m","A. hya","Adult",92
"3ESAL092P","c4",1489140.60116572,"3","E2B","5 m","A. hya","Adult",92
"3ESAL092P","c5",2537054.3575416,"3","E2B","5 m","A. hya","Adult",92
"3ESAL092P","c6",1544293.95676445,"3","E2B","5 m","A. hya","Adult",92
"3ESAL025P","c1",319408.804971228,"3","E2B","5 m","A. hya","Adult",25
"3ESAL025P","c2",248429.070533177,"3","E2B","5 m","A. hya","Adult",25
"3ESAL025P","c3",248429.070533177,"3","E2B","5 m","A. hya","Adult",25
"3ESAL025P","c4",141959.468876101,"3","E2B","5 m","A. hya","Adult",25
"3ESAL025P","c5",283918.937752203,"3","E2B","5 m","A. hya","Adult",25
"3ESAL025P","c6",461368.273847329,"3","E2B","5 m","A. hya","Adult",25
"3TSAL039P","c1",2044747.4594053,"3","Temae","5 m","A. hya","Adult",39
"3TSAL039P","c2",1905332.8599004,"3","Temae","5 m","A. hya","Adult",39
"3TSAL039P","c3",2509462.79108833,"3","Temae","5 m","A. hya","Adult",39
"3TSAL039P","c4",2323576.65841512,"3","Temae","5 m","A. hya","Adult",39
"3TSAL039P","c5",1998275.926237,"3","Temae","5 m","A. hya","Adult",39
"3TSAL039P","c6",1998275.926237,"3","Temae","5 m","A. hya","Adult",39
"3TSAL077P","c1",1791458.66902573,"3","Temae","5 m","A. hya","Adult",77
"3TSAL077P","c2",1578912.72524302,"3","Temae","5 m","A. hya","Adult",77
"3TSAL077P","c3",1730731.25651638,"3","Temae","5 m","A. hya","Adult",77
"3TSAL077P","c4",1821822.3752804,"3","Temae","5 m","A. hya","Adult",77
"3TSAL077P","c5",1882549.78778975,"3","Temae","5 m","A. hya","Adult",77
"3TSAL077P","c6",1609276.43149769,"3","Temae","5 m","A. hya","Adult",77
"3ESAL097P","c1",1658557.95167302,"3","E2B","5 m","A. hya","Adult",97
"3ESAL097P","c2",1658557.95167302,"3","E2B","5 m","A. hya","Adult",97
"3ESAL097P","c3",1830132.91219092,"3","E2B","5 m","A. hya","Adult",97
"3ESAL097P","c4",1429791.33764915,"3","E2B","5 m","A. hya","Adult",97
"3ESAL097P","c5",1258216.37713126,"3","E2B","5 m","A. hya","Adult",97
"3ESAL097P","c6",1315408.03063722,"3","E2B","5 m","A. hya","Adult",97
"3TSAL044P","c1",4395141.97021361,"3","Temae","5 m","A. hya","Adult",44
"3TSAL044P","c2",4295252.37998148,"3","Temae","5 m","A. hya","Adult",44
"3TSAL044P","c3",3895694.01905297,"3","Temae","5 m","A. hya","Adult",44
"3TSAL044P","c4",3995583.6092851,"3","Temae","5 m","A. hya","Adult",44
"3TSAL044P","c5",5094369.1018385,"3","Temae","5 m","A. hya","Adult",44
"3TSAL044P","c6",4894589.92137424,"3","Temae","5 m","A. hya","Adult",44
